,2013-2014,2014-2015,2015-2016,2016-2017,2017-2018,2018-2019,2019-2020,2020-2021,2021-2022
0,Hoffenheim,Hoffenheim,Hoffenheim,Hoffenheim,Bayern Munich,Bayern Munich,Hoffenheim,Hoffenheim,Hoffenheim
1,7.667,7.667,7.667,7.667,29.0,20.0,7.667,12.0,7.667
2,"€23,808.00","€28,712.00","€76,192.00","€96,154.00","€96,154.00","€67,308.00","€84,615.00","€84,615.00","€84,615.00"
3,27,29,24,32,25,21,32,25,21
4,2,4,2,2,1,,1,1,3
5,6,3,1,7,4,,3,2,
6,1117,561,896,1393,1515,,2734,1679,259
7,,,,,,,,,
8,48,35,31,35,17,24,47,29,18
9,3,8,4,11,12,3,7,5,4
10,96%,86%,92%,100%,64%,81%,97%,84%,33%
11,1,6,8,,17,14,2,5,18
12,79%,85%,71%,94%,74%,64%,94%,81%,62%
13,6,8,8,9,2,4,9,5,5
14,,,1,,,,,,
15,33%,38%,21%,50%,80%,24%,44%,32%,33%
16,33%,24%,33%,38%,4%,33%,22%,24%,14%
17,33%,38%,46%,13%,16%,43%,34%,44%,52%
