,2021-2022,2019-2020,2020-2021
0,Sevilla,Sevilla,Sevilla
1,12.0,26.0,19.0
2,"€93,654.00","€93,654.00","GROSS P/W
(IN EUR)"
3,,,
4,,,
5,,,
6,,,
7,,,
8,,,
9,,,
10,,,
11,,,
12,,,
13,,,
14,,,
15,,,
16,,,
17,,,
