,2016-2017,2017-2018,2018-2019,2019-2020,2020-2021,2021-2022
1,17.0,17.0,23.0,26.0,19.0,12.0
2,24481.0,57692.0,143269.0,143269.0,143269.0,143269.0
3,29.0,19.0,25.0,28.0,32.0,26.0
4,3.0,0.0,2.0,3.0,0.0,2.0
5,2.0,3.0,1.0,3.0,3.0,2.0
6,659.0,0.0,629.0,532.0,0.0,504.0
7,0.0,0.0,0.0,0.0,0.0,0.0
8,8.0,5.0,8.0,16.0,14.0,15.0
9,18.0,13.0,15.0,15.0,14.0,11.0
10,83.0,42.0,52.0,75.0,47.0,42.0
11,8.0,22.0,20.0,12.0,23.0,18.0
12,1.0,2.0,2.0,5.0,2.0,2.0
13,1.0,2.0,2.0,5.0,2.0,2.0
14,0.0,0.0,0.0,0.0,0.0,0.0
15,66.0,95.0,80.0,57.0,63.0,46.0
16,31.0,5.0,12.0,25.0,16.0,46.0
17,3.0,0.0,8.0,18.0,22.0,8.0
