,2020-2021,2017-2018,2018-2019,2019-2020,2021-2022
1,19.0,19.0,19.0,19.0,19.0
2,25962.0,13231.0,19231.0,25962.0,25962.0
3,34.0,20.0,31.0,30.0,37.0
4,10.0,1.0,6.0,0.0,4.0
5,3.5,1.0,7.0,2.0,4.0
6,267.0,945.0,392.0,0.0,756.0
7,0.0,0.0,0.0,0.0,0.0
8,41.0,17.0,44.0,21.0,33.0
9,9.0,3.0,8.0,9.0,14.0
10,88.0,60.0,87.0,50.0,97.0
11,7.0,21.0,7.0,22.0,1.0
12,7.0,12.0,5.0,4.0,8.0
13,7.0,0.0,5.0,4.0,8.0
14,0.0,0.0,0.0,0.0,0.0
15,41.0,30.0,23.0,20.0,32.0
16,32.0,35.0,29.0,43.0,24.0
17,26.0,35.0,48.0,37.0,43.0
