,2020-2021,2019-2020,2021-2022
0,Hibernian,Hibernian,Hibernian
1,1.25,1.25,2.0
2,€660.00,€660.00,€0.00
3,28,7,34
4,1,,
5,3,3,2
6,2000,,
7,,,
8,19,3,33
9,11,5,13
10,89%,100%,91%
11,10,,5
12,74%,100%,89%
13,2,,1
14,,,
15,46%,57%,26%
16,18%,29%,32%
17,36%,14%,41%
