,2020-2021,2014-2015,2015-2016,2016-2017,2017-2018,2018-2019,2019-2020,2021-2022
0,Real Sociedad,Real Sociedad,Real Sociedad,Real Sociedad,Real Sociedad,Real Sociedad,Real Sociedad,Real Sociedad
1,8.0,1.5,6.5,6.5,9.0,6.5,6.5,9.0
2,"GROSS P/W
(IN EUR)","€12,654.00","€13,385.00","€17,750.00","€26,346.00","€40,577.00","€40,577.00","€40,577.00"
3,23,4,31,9,18,27,22,30
4,1,1,1,,3,1,,3
5,,,,,2,,1,1
6,1886,318,2593,,524,2254,,701
7,,,,,,,,
8,15,5,35,9,22,35,21,21
9,9,1,10,2,8,5,4,18
10,96%,100%,97%,44%,100%,89%,77%,73%
11,2,2,1,25,15,6,5,14
12,230%,11%,82%,24%,47%,71%,33%,79%
13,5,2,8,,1,5,3,2
14,,,,1,,,,1
15,52%,25%,35%,56%,56%,33%,41%,47%
16,26%,0,23%,11%,6%,30%,18%,37%
17,22%,75%,42%,33%,39%,37%,41%,17%
