,2021-2022,2012-2013,2013-2014,2014-2015,2015-2016,2016-2017,2017-2018,2018-2019,2019-2020,2020-2021
1,9.0,14.0,13.857,12.0,13.857,13.0,25.0,17.0,11.0,24.0
2,19596.0,38019.0,39019.0,37481.0,44942.0,77596.0,78346.0,78269.0,78269.0,42692.0
3,21.0,31.0,27.0,32.0,19.0,20.0,22.0,20.0,4.0,5.0
4,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
5,,,,,,,,,,
6,1275.0,2696.0,0.0,0.0,0.0,0.0,0.0,1403.0,0.0,0.0
7,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
8,15.0,46.0,27.0,41.0,18.0,10.0,13.0,21.0,4.0,3.0
9,7.0,7.0,9.0,10.0,9.0,10.0,11.0,5.0,8.0,4.0
10,67.0,100.0,100.0,100.0,84.0,65.0,82.0,75.0,25.0,77.55555555555556
11,24.0,22.142857142857142,22.142857142857142,22.142857142857142,20.0,23.0,19.0,20.0,23.0,26.0
12,1.0,13.0,7.0,13.0,3.0,5.0,4.0,4.0,2.0,12.0
13,1.0,13.0,7.0,13.0,3.0,5.0,4.0,4.0,2.0,0.0
14,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,52.0,42.0,33.0,38.0,63.0,90.0,55.0,45.0,50.0,40.0
16,29.0,16.0,52.0,34.0,16.0,5.0,27.0,40.0,25.0,40.0
17,19.0,42.0,15.0,28.0,21.0,5.0,18.0,15.0,25.0,20.0
