,2021-2022,2013-2014,2014-2015,2015-2016,2016-2017,2017-2018,2018-2019,2019-2020,2020-2021
0,Real Madrid,Real Madrid,Real Madrid,Real Madrid,Real Madrid,Real Madrid,Real Madrid,Real Madrid,Real Madrid
1,30.0,35.0,29.0,33.0,33.0,32.0,19.0,17.0,26.0
2,"€176,731.00","€176,731.00","€176,731.00","€159,077.00","€196,154.00","€196,346.00","€176,731.00","€176,731.00","€176,731.00"
3,24,31,30,22,23,25,24,31,13
4,1,2,,,,,1,1,
5,3,2,3,4,4,2,2,5,2
6,1549,1119,,,,,2107,2738,
7,,,,,,,,,
8,13,23,24,11,23,30,23,18,6
9,10,14,12,9,7,4,8,16,8
10,71%,81%,83%,86%,91%,100%,96%,100%,85%
11,11,6,8,6,9,1,2,2,2
12,63%,82%,79%,58%,61%,66%,63%,82%,34%
13,1,5,11,6,8,10,10,11,5
14,,,,,,1,,,
15,75%,74%,77%,68%,61%,56%,54%,71%,69%
16,21%,16%,7%,23%,26%,32%,21%,26%,31%
17,4%,10%,17%,9%,13%,12%,25%,3%,0
