,2018-2019,2021-2022,2017-2018,2019-2020,2020-2021
1,10.0,12.0,17.0,10.0,19.0
2,54615.0,54615.0,54615.0,54615.0,54615.0
3,30.0,31.0,31.0,24.0,30.0
4,1.0,1.0,4.0,2.0,1.0
5,6.0,3.0,4.0,1.0,2.0
6,2573.0,2110.0,572.0,1007.0,2329.0
7,0.0,0.0,0.0,0.0,0.0
8,26.0,13.0,17.0,27.0,28.0
9,9.0,15.0,16.0,7.0,11.0
10,100.0,84.0,87.0,96.0,87.0
11,4.0,6.0,4.0,1.0,5.0
12,10.0,11.0,7.0,9.0,5.0
13,10.0,11.0,7.0,9.0,5.0
14,1.0,0.0,0.0,0.0,0.0
15,73.0,48.0,71.0,42.0,60.0
16,10.0,42.0,16.0,21.0,17.0
17,17.0,10.0,13.0,38.0,23.0
