,2018-2019,2020-2021,2013-2014,2014-2015,2015-2016,2016-2017,2017-2018,2019-2020
1,1.167,1.167,0.5,1.167,1.167,1.167,1.5,1.5
2,4615.0,6923.0,2865.0,3019.0,3173.0,3692.0,4654.0,6923.0
3,16.0,25.0,29.0,23.0,32.0,21.0,30.0,17.0
4,0.0,2.0,0.0,1.0,1.0,1.0,4.0,0.0
5,1.0,3.0,2.0,2.0,1.0,1.8,1.8,1.8
6,0.0,855.0,0.0,1879.0,2834.0,1256.0,610.0,0.0
7,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
8,19.0,24.0,59.0,37.0,44.0,13.0,42.0,22.0
9,4.0,6.0,5.0,4.0,5.0,9.0,6.0,5.0
10,44.0,76.0,100.0,91.0,100.0,62.0,90.0,94.0
11,26.0,14.0,10.428571428571429,2.0,1.0,15.0,7.0,8.0
12,4.0,5.0,6.0,4.0,2.0,4.0,3.0,3.0
13,4.0,5.0,6.0,4.0,2.0,4.0,3.0,3.0
14,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0
15,38.0,32.0,31.0,35.0,44.0,67.0,40.0,59.0
16,25.0,44.0,24.0,22.0,25.0,14.0,40.0,12.0
17,38.0,24.0,45.0,43.0,31.0,19.0,20.0,29.0
