,2021-2022,2019-2020,2020-2021
1,19.0,17.0,19.0
2,35385,35385,35385
3,19,4,29
4,,,1
5,1,,1
6,,,2141
7,,,
8,11,6,31
9,7,1,7
10,95,75,86
11,2,22,10
12,50,11,76
13,5,,5
14,,,1
15,26,25,28
16,42,25,31
17,32,50,41
