,2016-2017,2017-2018,2018-2019,2019-2020,2020-2021,2021-2022
1,16.6,17.0,5.0,27.0,10.0,9.0
2,49231.0,45962.0,61731.0,61731.0,61731.0,61731.0
3,32.0,30.0,26.0,15.0,24.0,20.0
4,1.0,0.0,0.0,1.0,2.0,1.0
5,3.0,3.0,3.0,3.0,3.0,3.0
6,2870.0,0.0,0.0,901.0,795.0,708.0
7,0.0,0.0,0.0,0.0,0.0,0.0
8,37.0,39.0,18.0,14.0,13.0,7.0
9,10.0,5.0,12.0,2.0,9.0,9.0
10,100.0,83.0,92.0,67.0,83.0,35.0
11,1.0,7.0,5.0,8.0,13.0,25.0
12,4.0,4.0,4.0,6.0,6.0,4.0
13,4.0,4.0,4.0,6.0,6.0,4.0
14,0.0,0.0,0.0,0.0,0.0,0.0
15,63.0,47.0,54.0,53.0,67.0,60.0
16,19.0,23.0,27.0,13.0,17.0,20.0
17,19.0,30.0,19.0,33.0,17.0,20.0
