,2019-2020,2020-2021,2021-2022
0,Porto,Porto,Liverpool
1,7.0,23.0,33.0
2,"£55,000.00","£55,000.00","£55,000.00"
3,29,30,13
4,6,6,4
5,2,5,3
6,295,273,240
7,,,
8,10,13,4
9,16,14,8
10,69%,53%,85%
11,11,14,5
12,85%,88%,81%
13,2,,
14,,,
15,79%,70%,85%
16,7%,23%,15%
17,14%,7%,0
