,2013-2014,2014-2015,2015-2016,2016-2017,2017-2018,2018-2019,2019-2020,2020-2021,2021-2022
0,Tottenham,Tottenham,Tottenham,Tottenham,Manchester City,Manchester City,Manchester City,Manchester City,Manchester City
1,15.0,9.0,12.0,10.0,22.0,25.0,25.0,35.0,27.0
2,"£55,000.00","£70,000.00","£110,000.00","£110,000.00","£160,000.00","£160,000.00","£160,000.00","GROSS P/W
(IN GBP)","£160,000.00"
3,26,15,33,33,32,33,29,24,20
4,1,,1,,,1,1,1,
5,2,,3,5,6,1,4,1,2
6,2297,,2941,,,2779,2392,1946,
7,,,1,,1,,,,
8,36,24,28,21,22,17,24,20,14
9,10,2,12,15,15,18,14,10,11
10,100%,100%,100%,94%,100%,91%,97%,92%,100%
11,,1,3,4,4,7,8,11,7
12,68%,39%,87%,87%,84%,87%,76%,63%,53%
13,5,3,6,8,3,3,5,1,1
14,,,,,1,,,,
15,54%,67%,45%,64%,84%,85%,69%,67%,65%
16,19%,13%,39%,24%,13%,6%,7%,21%,25%
17,27%,20%,15%,12%,3%,9%,24%,13%,10%
