,2020-2021,2013-2014,2014-2015,2015-2016,2016-2017,2017-2018,2018-2019,2019-2020,2021-2022
0,Manchester City,Chelsea,Wolfsburg,Manchester City,Manchester City,Manchester City,Manchester City,Manchester City,Manchester City
1,35.0,25.0,16.0,26.0,18.0,22.0,25.0,25.0,27.0
2,"£400,000.00","£150,000.00","£175,000.00","£350,000.00","£350,000.00","£400,000.00","£400,000.00","GROSS P/W
(IN GBP)","£400,000.00"
3,25,16,34,25,36,37,19,35,30
4,6,3,10,7,6,8,2,13,15
5,11,5,18,9,18,16,2,21,8
6,333,471,305,286,480,384,489,215,147
7,,,,,,,,,
8,17,30,38,26,34,22,3,22,22
9,12,1,8,8,12,18,12,17,15
10,92%,100%,100%,88%,92%,97%,58%,91%,83%
11,6,,,4,4,2,9,4,8
12,66%,94%,100%,74%,95%,97%,50%,92%,79%
13,1,3,3,2,4,2,2,3,2
14,,1,,,,,,,
15,68%,50%,59%,48%,61%,84%,84%,71%,70%
16,20%,19%,26%,32%,25%,11%,0,9%,20%
17,12%,31%,15%,20%,14%,5%,16%,20%,10%
