,2013-2014,2014-2015,2015-2016,2016-2017,2017-2018,2018-2019,2019-2020,2020-2021,2021-2022
0,Monaco,Monaco,Inter Milan,Inter Milan,Inter Milan,Valencia,Valencia,Atletico Madrid,Atletico Madrid
1,12.833,21.0,13.857,4.0,13.857,23.0,17.0,16.0,19.0
2,"€123,462.00","€123,462.00","€124,635.00","€132,692.00","€132,692.00","€132,692.00","€132,692.00","€132,692.00","€132,692.00"
3,26,23,26,24,31,19,27,25,28
4,1,1,1,1,4,1,1,,1
5,2,1,,,4,1,,,2
6,1570,1905,1987,1711,654,1245,1807,,1886
7,,1,,,,,1,,
8,15,19,21,33,30,13,30,5,24
9,10,8,12,4,10,8,5,10,9
10,62%,96%,88%,83%,97%,74%,78%,16%,75%
11,10,4,10,13,1,9,11,27,8
12,74%,61%,68%,63%,84%,50%,71%,78%,74%
13,4,3,6,5,13,1,5,4,12
14,,,1,1,1,,,,1
15,62%,48%,62%,42%,52%,32%,30%,72%,50%
16,31%,30%,15%,21%,23%,47%,33%,16%,21%
17,8%,22%,23%,38%,26%,21%,37%,12%,29%
