,2020-2021,2014-2015,2015-2016,2016-2017,2017-2018,2018-2019,2019-2020,2021-2022
0,Barcelona,Willem II,Willem II,Ajax,Ajax,Ajax,Barcelona,Barcelona
1,20.0,2.0,2.0,22.0,1.5,27.0,24.0,15.0
2,"€721,154.00","€14,538.00","€493,654.00","€120,000.00","€360,769.00","€360,769.00","€721,154.00","€721,154.00"
3,37,1,15,4,22,31,29,32
4,3,,2,1,,3,2,3
5,4,,,,7,3,2,3
6,1051,,644,152,,837,1058,825
7,,,,,,,,
8,35,,17,1,16,29,26,30
9,14,1,3,2,8,13,9,8
10,95%,,100%,25%,73%,97%,83%,94%
11,2,1,1,16,9,3,6,3
12,97%,3%,83%,14%,65%,91%,76%,84%
13,5,,,,2,,2,6
14,,,,,,,1,1
15,65%,100%,40%,100%,68%,81%,66%,59%
16,19%,0,27%,0,18%,6%,14%,22%
17,16%,0,33%,0,14%,13%,21%,19%
