,2014-2015,2015-2016,2016-2017,2017-2018,2018-2019,2019-2020,2020-2021
0,Celta Vigo,Celta Vigo,Celta Vigo,Celta Vigo,Celta Vigo,Celta Vigo,Celta Vigo
1,19.0,19.0,19.0,19.0,19.0,19.0,19.0
2,"€8,846.00","€11,962.00","€23,846.00","€24,115.00","€21,538.00","€45,000.00","€45,000.00"
3,1,8,11,23,25,33,19
4,,,,,,,
5,,,,,,,
6,,,,,,,
7,,,,,,,
8,2,12,15,31,40,43,27
9,,3,2,5,6,10,4
10,100%,100%,100%,100%,100%,100%,100%
11,36,18,5,12,12,,1
12,3%,21%,29%,61%,66%,87%,50%
13,,1,2,3,2,4,
14,,1,,1,,,1
15,100%,63%,45%,43%,28%,18%,37%
16,0%,13%,27%,22%,24%,42%,32%
17,0%,25%,27%,35%,48%,39%,32%
