,2018-2019,2019-2020,2020-2021,2021-2022
0,Udinese,Udinese,Udinese,Atalanta
1,2.25,2.25,2.25,16.0
2,"€56,923.00","GROSS P/W
(IN EUR)","€56,923.00","€56,923.00"
3,29,38,35,33
4,,,,
5,,,,
6,,,,
7,,,,
8,40,51,51,42
9,7,14,8,8
10,100%,100%,100%,100%
11,8,,,4
12,76%,100%,92%,87%
13,4,1,5,1
14,,,,1
15,31%,32%,26%,48%
16,28%,24%,29%,24%
17,41%,45%,46%,27%
