,2020-2021,2013-2014,2014-2015,2015-2016,2016-2017,2017-2018,2018-2019,2019-2020,2021-2022
1,15.0,10.0,10.0,8.0,12.0,9.833,9.833,6.0,9.833
2,55769.0,20654.0,45635.0,55019.0,56962.0,56962.0,55769.0,55769.0,55769.0
3,29.0,31.0,21.0,30.0,30.0,31.0,21.0,25.0,26.0
4,14.0,3.0,10.0,7.0,11.0,6.0,3.0,9.0,4.0
5,8.0,2.0,2.0,8.0,5.0,4.0,1.0,3.0,4.0
6,139.0,884.0,180.0,371.0,236.0,455.0,503.0,159.0,408.0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,34.0,51.0,38.0,45.0,44.0,43.0,23.0,21.0,23.0
9,5.0,5.0,2.0,6.0,9.0,7.0,10.0,4.0,4.0
10,79.0,100.0,95.0,97.0,97.0,100.0,90.0,56.0,77.0
11,7.0,4.857142857142857,1.0,2.0,1.0,4.857142857142857,3.0,13.0,7.0
12,5.0,6.0,8.0,5.0,8.0,5.0,3.0,4.0,10.0
13,5.0,6.0,8.0,5.0,8.0,5.0,3.0,4.0,10.0
14,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
15,38.0,35.0,19.0,50.0,37.0,39.0,52.0,56.0,38.0
16,34.0,16.0,38.0,10.0,30.0,26.0,19.0,12.0,27.0
17,28.0,48.0,43.0,40.0,33.0,35.0,29.0,32.0,35.0
