,2020-2021,2021-2022,2013-2014,2014-2015,2015-2016,2016-2017,2017-2018,2018-2019,2019-2020
1,33.0,25.0,25.0,21.0,24.0,20.0,19.0,19.0,31.0
2,141667.0,141667.0,124581.0,168170.0,209238.0,264952.0,267492.0,302707.0,141667.0
3,23.0,32.0,28.0,26.0,30.0,27.0,25.0,25.0,14.0
4,2.0,3.0,3.0,1.0,1.0,3.0,1.0,0.0,0.0
5,1.3333333333333333,1.3333333333333333,1.3333333333333333,1.3333333333333333,1.0,2.0,1.3333333333333333,1.0,1.3333333333333333
6,968.0,883.0,795.0,2308.0,2622.0,795.0,2115.0,0.0,0.0
7,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0
8,20.0,29.0,17.0,27.0,17.0,20.0,16.0,15.0,11.0
9,11.0,11.0,14.0,9.0,16.0,14.0,13.0,14.0,12.0
10,100.0,88.0,100.0,100.0,97.0,100.0,96.0,96.0,95.0
11,2.0,8.0,3.7142857142857144,3.7142857142857144,2.0,2.0,8.0,3.0,1.0
12,4.0,2.0,1.0,3.0,3.0,1.0,5.0,4.0,1.0
13,4.0,2.0,1.0,3.0,3.0,1.0,5.0,4.0,1.0
14,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,48.0,50.0,68.0,65.0,83.0,74.0,80.0,84.0,86.0
16,17.0,31.0,21.0,23.0,10.0,11.0,16.0,8.0,10.0
17,35.0,19.0,11.0,12.0,7.0,15.0,4.0,8.0,5.0
