,2021-2022,2014-2015,2015-2016,2016-2017,2018-2019,2019-2020,2020-2021
0,Real Sociedad,Athletic Club,Athletic Club,Athletic Club,Athletic Club,Real Sociedad,Real Sociedad
1,9.0,10.0,17.0,9.0,10.0,6.5,8.0
2,"€42,885.00","€42,885.00","€42,885.00","GROSS P/W
(IN EUR)","€42,885.00","€42,885.00","€42,885.00"
3,35,1,33,,,25,38
4,,,,,,,
5,,,,,,,
6,,,,,,,
7,,,,,,,
8,32,2,43,,,32,38
9,19,,6,,,6,14
10,100%,100%,100%,,,100%,100%
11,3,,,,,13,
12,92%,,79%,0%,0%,38%,380%
13,1,,1,,,,
14,,,1,,,,
15,43%,0,21%,,,44%,45%
16,31%,100%,18%,,,16%,29%
17,26%,0,61%,,,40%,26%
