,2013-2014,2014-2015,2015-2016,2016-2017,2017-2018,2018-2019,2019-2020,2020-2021,2021-2022
1,33.0,22.0,28.0,29.0,28.0,20.0,22.0,16.0,25.0
2,230577.0,230577.0,230769.0,230769.0,226727.0,230769.0,230769.0,230769.0,230769.0
3,34.0,24.0,31.0,33.0,36.0,33.0,35.0,33.0,10.0
4,2.0,4.0,4.0,4.0,2.0,4.0,6.0,2.0,0.0
5,1.0,2.0,2.0,3.0,3.0,1.0,1.8571428571428572,1.0,1.8571428571428572
6,1502.0,266.0,583.0,635.0,1578.0,731.0,512.0,1017.0,0.0
7,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
8,71.0,7.0,12.0,20.0,22.0,26.0,25.0,15.0,6.0
9,10.0,13.0,20.0,18.0,21.0,17.0,16.0,16.0,5.0
10,100.0,38.0,84.0,88.0,97.0,97.0,100.0,67.0,50.0
11,10.25,20.0,12.0,6.0,1.0,2.0,1.0,12.0,28.0
12,13.0,1.0,1.0,8.0,9.0,10.0,11.0,9.0,1.0
13,13.0,1.0,1.0,8.0,9.0,10.0,11.0,9.0,1.0
14,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,35.0,71.0,74.0,61.0,58.0,58.0,49.0,67.0,70.0
16,12.0,21.0,10.0,24.0,28.0,27.0,40.0,24.0,30.0
17,53.0,8.0,16.0,15.0,14.0,15.0,11.0,9.0,0.0
