,2019-2020,2021-2022,2013-2014,2014-2015,2015-2016,2016-2017,2017-2018,2018-2019,2020-2021
1,11.0,11.0,5.0,1.5,6.5,6.5,9.0,10.0,11.0
2,26346,29904,30962,31250,31346,26346,26346,26346,26346
3,36,34,16,36,16,31,36,32,31
4,6,5,1,4,,,4,7,8
5,5,8,,3,,4,4,2,6
6,527,560,1037,637,,,481,379,312
7,,,,,,,,,
8,57,31,14,37,14,22,32,43,30
9,5,13,5,7,6,8,9,9,11
10,100,97,81,86,69,23,56,94,90
11,,1,3,5,6,26,17,3,3
12,95,89,94,95,42,82,95,84,82
13,5,6,3,3,3,2,4,6,3
14,,,,,,,,,
15,25,50,38,25,25,52,39,34,45
16,31,24,31,36,25,19,17,25,29
17,44,26,31,39,50,29,44,41,26
