,2020-2021,2013-2014,2014-2015,2015-2016,2016-2017,2017-2018,2018-2019,2019-2020,2021-2022
1,10.0,1.5,3.625,3.625,22.0,15.0,15.0,15.0,13.0
2,50,9838,0,48584,0,0,0,0,50
3,23,36,36,38,5,14,31,7,14
4,,,,1,,,,,
5,1,1,,1,,1,,,
6,,,,3367,,,,,
7,,,,,,,,,
8,25,37,49,41,5,21,28,3,15
9,5,13,10,12,2,4,9,2,3
10,65,100,100,100,80,79,74,57,86
11,22,,,,7,17,12,10,5
12,61,95,95,100,13,41,82,18,37
13,5,5,4,2,1,2,5,,3
14,,,,1,,,,,
15,48,33,33,47,0,21,45,57,43
16,13,17,25,24,40,29,16,14,29
17,39,50,42,29,60,50,39,29,29
