,2018-2019,2017-2018,2019-2020,2020-2021,2021-2022
1,27.0,1.5,8.0,6.0,13.0
2,11154.0,5192.0,11154.0,11154.0,11154.0
3,2.0,1.0,22.0,20.0,33.0
4,0.0,0.0,3.0,4.0,8.0
5,2.6666666666666665,2.6666666666666665,1.0,3.0,4.0
6,0.0,0.0,509.0,304.0,355.0
7,0.0,0.0,0.0,0.0,0.0
8,0.0,0.0,12.0,17.0,41.0
9,6.5,1.0,14.0,7.0,4.0
10,82.0,82.0,86.0,60.0,100.0
11,16.0,5.0,3.0,8.0,1.0
12,12.0,12.0,3.0,4.0,4.0
13,0.0,0.0,3.0,4.0,4.0
14,0.0,0.0,0.0,0.0,0.0
15,100.0,0.0,73.0,60.0,55.0
16,0.0,100.0,5.0,25.0,18.0
17,0.0,0.0,23.0,15.0,27.0
