,2020-2021,2013-2014,2014-2015,2015-2016,2016-2017,2017-2018,2018-2019,2019-2020,2021-2022
1,2.5,5.0,3.0,2.5,1.0,4.0,2.5,2.5,2.5
2,46154,16519,22808,27519,47615,47904,47885,46154,46154
3,27,23,31,31,25,21,10,28,25
4,1,3,6,5,2,,,3,2
5,6,2,1,2,2,3,1,4,4
6,1904,627,403,518,945,,,752,894
7,,,,,,,,,
8,36,37,34,32,30,26,11,43,40
9,6,3,7,12,8,6,1,7,4
10,89,91,87,97,84,86,30,89,92
11,6,2,5,1,4,6,14,4,7
12,79,77,91,91,74,62,29,82,74
13,5,2,3,6,6,2,1,7,6
14,1,,1,,,,,1,
15,26,35,23,42,48,29,20,32,24
16,22,17,35,26,4,38,40,25,16
17,52,48,42,32,48,33,40,43,60
