,2013-2014,2014-2015,2015-2016,2016-2017,2017-2018,2018-2019,2019-2020,2020-2021,2021-2022
0,Atletico Madrid,Villarreal,Villarreal,Villarreal,Villarreal,Villarreal,Villarreal,Villarreal,Villarreal
1,33.0,12.0,23.0,9.0,8.0,16.0,17.429,30.0,24.0
2,"€39,558.00","€38,019.00","€45,846.00","€47,462.00","€47,904.00","€48,077.00","€66,538.00","€66,538.00","€66,538.00"
3,35,34,4,24,23,32,34,36,6
4,,,,,,,,,
5,,,,,,,,,
6,,,,,,,,,
7,,,,,,,,,
8,41,31,5,15,30,45,41,40,9
9,9,15,2,11,6,9,11,10,
10,100%,100%,100%,100%,100%,100%,100%,100%,100%
11,,,8,,2,4,4,2,30
12,92%,89%,11%,63%,61%,84%,89%,95%,16%
13,1,1,1,,3,,2,2,1
14,,,,,,,,,
15,43%,41%,25%,42%,52%,22%,50%,42%,33%
16,23%,32%,50%,38%,13%,38%,12%,36%,33%
17,34%,26%,25%,21%,35%,41%,38%,22%,33%
