,2017-2018,2018-2019,2019-2020,2020-2021,2021-2022
0,Sporting Lisbon,Alanyaspor,Juventus,Juventus,Atalanta
1,17.0,2.0,22.0,21.0,16.0
2,"€71,154.00","GROSS P/W
(IN EUR)","€71,154.00","€71,154.00","€71,154.00"
3,,14,6,15,28
4,,2,1,,1
5,,,1,1,2
6,,630,418,,1916
7,,,,,
8,,21,4,8,22
9,,4,1,6,8
10,,100%,83%,67%,79%
11,,2,20,16,12
12,0%,82%,16%,39%,74%
13,,3,1,1,8
14,,,,,
15,,14%,83%,73%,43%
16,,50%,0,27%,32%
17,,36%,17%,0,25%
