,2021-2022,2019-2020,2020-2021
0,PSV,PSV,PSV
1,10.0,6.0,10.0
2,"€13,462.00","GROSS P/W
(IN EUR)","€13,462.00"
3,18,,24
4,3,,7
5,3,,4
6,275,,138
7,,,
8,11,,14
9,5,,9
10,61%,,29%
11,8,,19
12,53%,,71%
13,,,1
14,,,
15,83%,,67%
16,11%,,25%
17,6%,,8%
