,2020-2021,2016-2017,2017-2018,2018-2019,2019-2020,2021-2022
1,17.0,16.6,17.0,5.0,27.0,17.0
2,80769.0,48077.0,48077.0,80769.0,80769.0,80769.0
3,29.0,28.0,26.0,24.0,12.0,30.0
4,4.0,3.0,3.0,4.0,1.0,2.0
5,1.0,1.0,1.0,1.0,1.0,1.0
6,591.0,839.0,708.0,512.0,856.0,1321.0
7,0.0,0.0,0.0,0.0,0.0,0.0
8,24.0,30.0,34.0,15.0,12.0,29.0
9,13.0,8.0,6.0,13.0,3.0,9.0
10,86.0,100.0,96.0,96.0,75.0,100.0
11,8.0,1.0,5.0,10.0,9.0,6.6
12,4.0,9.0,5.0,5.0,12.0,1.0
13,4.0,9.0,5.0,5.0,0.0,1.0
14,0.0,1.0,1.0,0.0,0.0,0.0
15,55.0,61.0,38.0,63.0,42.0,50.0
16,24.0,18.0,23.0,33.0,42.0,23.0
17,21.0,21.0,38.0,4.0,17.0,27.0
