,2020-2021,2017-2018,2018-2019,2019-2020,2021-2022
1,10.0,1.5,8.0,19.0,9.0
2,36923.0,36923.0,36923.0,36923.0,36923.0
3,33.0,5.0,29.0,26.0,37.0
4,2.0,0.0,4.0,1.0,3.0
5,1.0,2.3333333333333335,2.3333333333333335,1.0,5.0
6,370.0,0.0,401.0,1159.0,540.0
7,0.0,0.0,0.0,0.0,0.0
8,10.0,0.0,22.0,16.0,15.0
9,13.0,2.0,5.0,4.0,16.0
10,9.0,36.5,59.0,46.0,32.0
11,33.0,8.0,15.0,25.0,25.0
12,2.0,12.0,4.0,7.0,2.0
13,2.0,0.0,4.0,7.0,2.0
14,0.0,0.0,0.0,0.0,0.0
15,61.0,60.0,28.0,62.0,65.0
16,12.0,40.0,38.0,19.0,19.0
17,27.0,0.0,34.0,19.0,16.0
