,2018-2019,2020-2021,2021-2022
0,Valencia,Valencia,Valencia
1,23.0,19.0,19.0
2,"€31,154.00","€31,154.00","€31,154.00"
3,29,25,31
4,1,1,1
5,,,
6,2367,1988,2362
7,,1,1
8,38,25,40
9,7,6,10
10,90%,84%,90%
11,3,11,5
12,78%,66%,82%
13,13,8,9
14,,,2
15,28%,32%,32%
16,31%,32%,35%
17,41%,36%,32%
