,2018-2019,2013-2014,2014-2015,2015-2016,2016-2017,2017-2018,2019-2020,2020-2021,2021-2022
1,19.0,23.0,20.556,13.0,26.0,20.0,11.0,24.0,23.0
2,74038.0,62894.0,62894.0,62894.0,93654.0,93654.0,93654.0,93654.0,93654.0
3,25.0,25.0,25.0,35.0,18.0,29.0,30.0,16.0,27.0
4,1.0,1.0,4.0,0.0,1.0,4.0,3.0,0.0,3.0
5,1.25,1.25,1.25,1.0,1.0,1.25,2.0,1.0,1.25
6,2217.0,1939.0,469.0,0.0,1215.0,634.0,855.0,0.0,697.0
7,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
8,39.0,25.0,23.0,31.0,16.0,24.0,38.0,20.0,28.0
9,4.0,8.0,6.0,17.0,9.0,12.0,6.0,3.0,10.0
10,100.0,84.0,84.0,100.0,72.0,97.0,97.0,81.0,85.0
11,4.0,4.0,9.0,5.625,9.0,7.0,2.0,3.0,7.0
12,1.0,2.0,2.0,8.0,12.0,4.0,2.0,3.0,12.0
13,1.0,2.0,2.0,8.0,0.0,4.0,2.0,3.0,0.0
14,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
15,44.0,52.0,44.0,49.0,50.0,66.0,50.0,69.0,44.0
16,20.0,24.0,28.0,26.0,28.0,10.0,17.0,6.0,26.0
17,36.0,24.0,28.0,26.0,22.0,24.0,33.0,25.0,30.0
