,2018-2019,2021-2022,2013-2014,2014-2015,2015-2016,2016-2017,2017-2018,2019-2020,2020-2021
1,29.0,33.0,21.875,10.0,22.0,21.875,30.0,18.0,24.0
2,100,0,0,0,0,0,0,100,100
3,32,35,35,37,17,24,27,30,21
4,1,2,4,6,2,1,1,4,1
5,3,5,7,9,3,4,1,5,1
6,1986,1299,782,543,645,2116,2171,560,1704
7,,,,,,,,,
8,14,22,42,45,16,28,21,14,23
9,19,19,10,14,7,7,14,15,5
10,66,83,100,97,88,100,93,87,95
11,12,6,,1,4,,6,5,3
12,84,92,92,97,45,63,71,79,55
13,1,3,4,6,1,7,1,2,
14,1,,1,,,,,,
15,81,74,71,49,53,58,52,90,43
16,16,20,14,22,29,25,37,7,33
17,3,6,14,30,18,17,11,3,24
