,2017-2018,2018-2019,2019-2020,2020-2021,2021-2022
0,AZ Alkmaar,AZ Alkmaar,AZ Alkmaar,AZ Alkmaar,Monaco
1,6.875,1.5,8.0,6.0,15.0
2,"€27,115.00","GROSS P/W
(IN EUR)","€27,115.00","€27,115.00","€27,115.00"
3,1,8,24,31,31
4,,3,14,15,4
5,,2,6,1,1
6,,130,144,168,241
7,,,,,
8,,5,13,35,16
9,1,3,17,8,8
10,,63%,100%,90%,23%
11,1,4,,5,25
12,3%,24%,96%,91%,82%
13,,1,1,1,
14,,,1,,
15,100%,50%,75%,61%,55%
16,0,25%,8%,23%,23%
17,0,25%,17%,16%,23%
