,2021-2022,2017-2018,2018-2019,2019-2020,2020-2021
1,13.5,13.5,13.5,13.5,13.5
2,106923.0,106923.0,106923.0,106923.0,106923.0
3,34.0,16.0,34.0,37.0,34.0
4,1.0,0.0,3.0,5.0,3.0
5,1.0,1.0,1.0,1.0,1.0
6,2928.0,0.0,1003.0,652.0,1011.0
7,0.0,0.0,0.0,0.0,0.0
8,41.0,18.0,37.0,44.0,52.0
9,11.0,6.0,8.0,11.0,8.0
10,100.0,88.0,100.0,97.0,100.0
11,2.0,22.0,1.0,1.0,1.0
12,9.0,2.0,8.0,9.0,7.0
13,9.0,2.0,8.0,9.0,7.0
14,1.0,1.0,1.0,0.0,1.0
15,47.0,50.0,18.0,32.0,24.0
16,15.0,13.0,44.0,35.0,35.0
17,38.0,38.0,38.0,32.0,41.0
