,2013-2014,2015-2016,2016-2017,2017-2018,2018-2019,2019-2020,2020-2021,2021-2022
1,17.375,13.3,13.3,11.0,2.5,20.0,17.0,16.0
2,24115.0,28192.0,28481.0,28462.0,35577.0,35577.0,35577.0,35577.0
3,5.0,24.0,32.0,31.0,21.0,33.0,31.0,20.0
4,0.0,1.0,0.0,1.0,1.0,2.0,2.0,1.0
5,3.5,3.5,3.5,4.0,3.0,6.0,3.5,1.0
6,0.0,1896.0,0.0,2442.0,1747.0,1303.0,1269.0,1439.0
7,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
8,3.0,30.0,36.0,28.0,25.0,39.0,36.0,22.0
9,2.0,7.0,12.0,9.0,6.0,9.0,9.0,7.0
10,80.0,88.0,97.0,94.0,95.0,88.0,94.0,80.0
11,1.0,8.0,2.0,3.0,2.0,6.0,4.0,5.0
12,1.0,7.0,7.0,7.0,2.0,11.0,9.0,6.0
13,1.0,7.0,7.0,7.0,2.0,11.0,9.0,6.0
14,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
15,80.0,17.0,53.0,45.0,52.0,58.0,55.0,50.0
16,0.0,42.0,28.0,29.0,19.0,24.0,26.0,30.0
17,20.0,42.0,19.0,26.0,29.0,18.0,19.0,20.0
