,2018-2019,2020-2021,2013-2014,2014-2015,2015-2016,2016-2017,2017-2018,2019-2020
1,19.0,24.0,35.0,20.556,24.0,20.0,19.0,31.0
2,253846.0,253846.0,285882.0,164827.0,195769.0,253327.0,255750.0,253846.0
3,30.0,27.0,34.0,27.0,29.0,29.0,30.0,26.0
4,12.0,4.0,4.0,3.0,10.0,6.0,11.0,8.0
5,11.0,9.0,17.0,10.0,18.0,7.0,6.0,15.0
6,193.0,463.0,596.0,547.0,212.0,340.0,192.0,250.0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,20.0,13.0,22.0,20.0,14.0,19.0,17.0,20.0
9,14.0,14.0,15.0,8.0,16.0,15.0,13.0,14.0
10,93.0,85.0,79.0,74.0,90.0,83.0,87.0,88.0
11,3.0,6.0,7.0,8.0,3.0,6.0,7.0,4.0
12,2.0,1.0,6.0,1.0,12.0,1.0,1.0,2.0
13,2.0,1.0,6.0,1.0,0.0,1.0,1.0,2.0
14,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
15,83.0,63.0,74.0,52.0,76.0,66.0,77.0,81.0
16,7.0,15.0,18.0,22.0,21.0,17.0,13.0,8.0
17,10.0,22.0,9.0,26.0,3.0,17.0,10.0,12.0
