,2020-2021,2013-2014,2014-2015,2015-2016,2016-2017,2019-2020,2021-2022
1,2.75,2.75,1.5,1.5,1.5,2.75,2.75
2,7115.0,3865.0,4827.0,4827.0,3077.0,7115.0,7115.0
3,20.0,5.0,20.0,25.0,14.0,9.0,9.0
4,1.0,1.0,0.0,1.0,0.0,0.0,0.0
5,1.0,2.0,1.0,4.0,2.0,2.0,2.0
6,1554.0,211.0,0.0,2077.0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,25.0,3.0,17.0,42.0,9.0,18.0,6.0
9,3.0,2.0,7.0,3.0,6.0,1.0,4.0
10,85.0,40.0,75.0,92.0,93.0,67.0,78.0
11,4.0,3.0,5.0,3.0,1.0,10.0,5.0
12,1.0,12.0,12.0,5.0,3.0,1.0,1.0
13,1.0,0.0,0.0,5.0,3.0,1.0,1.0
14,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,40.0,60.0,50.0,36.0,71.0,22.0,67.0
16,25.0,20.0,10.0,16.0,7.0,11.0,22.0
17,35.0,20.0,40.0,48.0,21.0,67.0,11.0
