,2013-2014,2014-2015,2015-2016,2016-2017,2017-2018,2018-2019,2019-2020,2020-2021,2021-2022
0,Chelsea,Chelsea,Chelsea,Chelsea,Chelsea,Chelsea,Real Madrid,Real Madrid,Real Madrid
1,25.0,21.0,18.0,23.778,18.0,30.0,17.0,26.0,30.0
2,"€204,208.00","€246,255.00","€254,853.00","€256,634.00","€600,962.00","€600,962.00","€600,962.00","GROSS P/W
(IN EUR)","€600,962.00"
3,35,38,31,36,34,,16,14,18
4,14,14,4,16,12,,1,3,
5,7,9,3,5,4,,3,2,1
6,206,241,549,186,202,,1077,177,
7,,,,,,,,,
8,24,30,32,29,27,,4,4,9
9,16,17,8,15,14,,9,5,7
10,91%,100%,81%,100%,82%,,88%,50%,39%
11,3,,6,,7,,5,8,22
12,92%,100%,82%,95%,89%,,42%,37%,47%
13,2,3,2,3,2,,,,1
14,,,,,,,,,
15,66%,68%,32%,78%,53%,,75%,50%,50%
16,20%,24%,35%,8%,21%,,19%,36%,39%
17,14%,8%,32%,14%,26%,,6%,14%,11%
