,2020-2021,2014-2015,2015-2016,2016-2017,2017-2018,2018-2019,2019-2020,2021-2022
1,24.0,9.0,6.333,5.0,25.0,17.0,4.0,23.0
2,78269.0,52769.0,53423.0,53462.0,78269.0,78269.0,78269.0,78269.0
3,34.0,19.0,29.0,30.0,1.0,11.0,15.0,36.0
4,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
5,6.0,2.0,10.0,4.0,4.0,1.0,3.0,2.0
6,2545.0,0.0,0.0,2537.0,0.0,0.0,1135.0,0.0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,39.0,17.0,28.0,23.0,0.0,11.0,19.0,34.0
9,10.0,7.0,11.0,14.0,1.0,2.0,3.0,15.0
10,82.0,74.0,97.0,97.0,100.0,64.0,87.0,89.0
11,7.0,7.0,1.0,2.0,3.0,19.0,5.0,4.0
12,2.0,1.0,4.0,3.0,12.0,1.0,1.0,8.0
13,2.0,1.0,4.0,3.0,0.0,1.0,1.0,8.0
14,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
15,47.0,47.0,55.0,77.0,100.0,36.0,53.0,50.0
16,21.0,26.0,17.0,10.0,0.0,45.0,33.0,25.0
17,32.0,26.0,28.0,13.0,0.0,18.0,13.0,25.0
