,2016-2017,2017-2018,2018-2019,2019-2020,2020-2021,2021-2022
0,Real Madrid,Real Madrid,Borussia Dortmund,Borussia Dortmund,Inter Milan,PSG
1,33.0,32.0,18.0,18.0,9.0,19.0
2,"€123,269.00","€279,808.00","€279,808.00","€279,808.00","€279,808.00","€279,808.00"
3,28,9,21,33,37,32
4,1,2,2,5,7,4
5,,,4,10,8,6
6,2304,379,870,543,381,620
7,,,,,,
8,34,7,23,34,26,25
9,7,4,6,14,13,11
10,93%,89%,90%,88%,78%,88%
11,2,9,8,4,8,4
12,74%,24%,62%,97%,97%,84%
13,8,,4,5,6,3
14,2,,,,,1
15,32%,67%,81%,61%,73%,69%
16,32%,11%,14%,18%,19%,22%
17,36%,22%,5%,21%,8%,9%
