,2018-2019,2017-2018,2019-2020,2020-2021,2021-2022
1,17.0,14.0,17.0,26.0,30.0
2,180385.0,180385.0,180385.0,180385.0,180385.0
3,30.0,27.0,25.0,26.0,22.0
4,2.0,0.0,1.0,1.0,2.0
5,1.0,5.0,2.0,2.25,1.0
6,1266.0,0.0,1809.0,2207.0,868.0
7,0.0,0.0,0.0,0.0,0.0
8,34.0,33.0,11.0,16.0,12.0
9,8.0,11.0,13.0,11.0,10.0
10,90.0,89.0,76.0,92.0,91.0
11,4.0,8.0,11.0,6.0,4.0
12,2.0,4.0,7.0,3.0,4.0
13,2.0,4.0,7.0,3.0,4.0
14,0.0,0.0,1.0,0.0,0.0
15,53.0,52.0,72.0,73.0,73.0
16,27.0,26.0,24.0,19.0,18.0
17,20.0,22.0,4.0,8.0,9.0
