,2015-2016,2016-2017,2017-2018,2018-2019,2019-2020,2020-2021,2021-2022
0,Barcelona,Barcelona,Barcelona,Barcelona,Barcelona,Barcelona,Getafe
1,26.0,23.0,25.0,30.0,24.0,20.0,11.0
2,"€12,115.00","€12,115.00","€12,115.00","GROSS P/W
(IN EUR)","€12,115.00","€12,115.00","€12,115.00"
3,14,3,,17,17,22,33
4,1,,,2,1,2,1
5,,,,,,1,2
6,704,,,318,734,706,2320
7,,,,,,,
8,9,,,8,12,23,20
9,4,1,,8,4,8,14
10,43%,,,35%,41%,68%,91%
11,8,11,2,21,13,7,4
12,38%,12%,0%,45%,85%,100%,87%
13,2,1,,2,1,2,4
14,,,,,,,1
15,14%,100%,,59%,18%,23%,24%
16,36%,0,,29%,35%,27%,39%
17,50%,0,,12%,47%,50%,36%
