,2015-2016,2016-2017,2017-2018,2018-2019,2019-2020,2020-2021,2021-2022
1,14.0,18.0,14.222,11.0,12.833,17.0,17.0
2,43269.0,43269.0,73077.0,73077.0,73077.0,73077.0,73077.0
3,9.0,29.0,22.0,22.0,13.0,13.0,22.0
4,0.0,0.0,0.0,1.0,0.0,0.0,3.0
5,1.0,3.0,1.0,2.0,1.8333333333333333,1.0,3.0
6,0.0,0.0,0.0,1824.0,0.0,0.0,381.0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,6.0,49.0,21.0,35.0,19.0,6.0,15.0
9,2.0,4.0,8.0,3.0,3.0,6.0,7.0
10,56.0,93.0,45.0,95.0,77.0,38.0,55.0
11,9.0,5.0,22.0,14.0,6.0,15.0,18.0
12,1.0,1.0,1.0,3.0,3.0,3.0,3.0
13,1.0,1.0,1.0,3.0,3.0,3.0,3.0
14,0.0,0.0,1.0,0.0,0.0,0.0,0.0
15,56.0,34.0,41.0,14.0,38.0,69.0,55.0
16,0.0,24.0,32.0,18.0,15.0,15.0,18.0
17,44.0,41.0,27.0,68.0,46.0,15.0,27.0
