,2020-2021,2012-2013,2013-2014,2014-2015,2015-2016,2016-2017,2017-2018,2018-2019,2019-2020
1,9.0,14.0,13.857,12.0,13.857,4.0,13.857,15.0,25.0
2,114038,63365,55731,53558,85212,88096,113962,114038,114038
3,37,35,36,37,36,37,38,38,35
4,,,,,,,,,
5,,,,,,,,,
6,,,,,,,,,
7,1,1,,,,1,1,,
8,33,53,32,47,34,47,30,33,32
9,14,9,15,11,15,9,17,17,13
10,100,100,100,100,100,100,100,100,100
11,1,,,,,1,,,3
12,97,92,95,97,95,97,100,100,92
13,1,5,1,2,5,4,,,2
14,,,1,,,,,,
15,73,43,39,35,53,49,53,53,63
16,19,17,42,35,19,14,32,24,29
17,8,40,19,30,28,38,16,24,9
