,2018-2019,2019-2020,2020-2021,2021-2022
1,19.0,19.0,19.0,19.0
2,6923,18462,18462,18462
3,4,17,8,17
4,,,,
5,,,,1
6,,,,
7,,,,
8,6,20,7,15
9,,5,3,6
10,50,94,63,94
11,17,12,18,19
12,11,45,21,45
13,,6,3,3
14,,,,
15,25,18,75,24
16,0,53,13,35
17,75,29,13,41
