,2013-2014,2014-2015,2015-2016,2016-2017,2017-2018,2018-2019,2019-2020,2020-2021,2021-2022
1,5.0,6.0,13.0,22.0,14.0,17.0,23.0,14.722,15.0
2,137224.0,137224.0,83327.0,79731.0,79731.0,96923.0,96923.0,79731.0,79731.0
3,32.0,30.0,29.0,16.0,36.0,36.0,13.0,37.0,28.0
4,12.0,22.0,2.0,5.0,19.0,10.0,9.0,20.0,12.0
5,7.0,5.0,6.75,7.0,9.0,9.0,2.0,12.0,3.0
6,225.0,120.0,742.0,219.0,134.0,274.0,113.0,146.0,154.0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,38.0,30.0,21.0,21.0,25.0,34.0,8.0,38.0,21.0
9,9.0,10.0,12.0,3.0,14.0,10.0,4.0,11.0,8.0
10,100.0,100.0,55.0,75.0,78.0,81.0,92.0,89.0,71.0
11,8.285714285714286,8.285714285714286,21.0,4.0,9.0,9.0,2.0,4.0,9.0
12,2.0,2.0,2.0,1.0,2.0,5.0,12.0,3.0,3.0
13,2.0,2.0,2.0,1.0,2.0,5.0,0.0,3.0,3.0
14,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,56.0,87.0,48.0,44.0,61.0,56.0,38.0,57.0,50.0
16,13.0,3.0,24.0,19.0,22.0,22.0,15.0,27.0,25.0
17,31.0,10.0,28.0,38.0,17.0,22.0,46.0,16.0,25.0
