,2013-2014,2014-2015,2015-2016,2016-2017,2017-2018,2018-2019,2019-2020
1,11.0,11.0,23.0,19.0,21.0,13.0,26.0
2,10423.0,19173.0,41385.0,39615.0,41173.0,34615.0,34615.0
3,19.0,30.0,15.0,26.0,27.0,21.0,11.0
4,2.0,2.0,1.0,0.0,0.0,0.0,1.0
5,2.0,1.0,1.0,3.0,2.0,1.0,1.6666666666666667
6,740.0,1103.0,1173.0,0.0,0.0,0.0,773.0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,26.0,37.0,19.0,32.0,41.0,16.0,11.0
9,5.0,4.0,4.0,8.0,10.0,6.0,3.0
10,95.0,87.0,87.0,96.0,96.0,86.0,73.0
11,1.0,7.0,7.0,3.0,3.0,5.0,23.0
12,11.0,8.0,2.0,6.0,10.0,7.0,2.0
13,11.0,8.0,2.0,6.0,10.0,7.0,2.0
14,1.0,1.0,0.0,0.0,0.0,1.0,0.0
15,32.0,30.0,27.0,65.0,48.0,33.0,36.0
16,21.0,13.0,33.0,15.0,19.0,33.0,45.0
17,47.0,57.0,40.0,19.0,33.0,33.0,18.0
