,2019-2020,2013-2014,2014-2015,2015-2016,2016-2017,2017-2018,2018-2019,2020-2021,2021-2022
1,11.0,19.0,15.0,14.0,13.0,25.0,17.0,24.0,18.0
2,267115,137224,133327,153385,158731,160250,178077,178077,178077
3,35,31,22,31,37,36,33,27,36
4,16,16,4,8,29,16,9,7,13
5,7,2,2,5,9,4,6,4,7
6,178,124,233,245,105,189,287,261,190
7,,,,,,,,,
8,43,22,10,24,31,23,38,33,20
9,7,13,8,5,14,16,9,7,13
10,89,74,50,68,89,92,85,74,75
11,7,8,19,13,4,4,6,11,11
12,92,82,58,82,97,95,87,71,95
13,4,4,1,4,4,6,9,2,2
14,,,,1,,,,,
15,51,71,50,58,73,58,45,37,64
16,20,13,23,29,8,22,30,30,25
17,29,16,27,13,19,19,24,33,11
