,2016-2017,2017-2018,2018-2019,2019-2020,2020-2021,2021-2022
1,4.0,6.0,3.625,3.625,23.0,25.0
2,9096.0,9096.0,11538.0,39423.0,137224.0,138846.0
3,27.0,21.0,35.0,19.0,8.0,8.0
4,1.0,0.0,1.0,1.0,0.0,0.0
5,1.0,1.0,1.0,1.0,1.0,1.0
6,2208.0,0.0,2994.0,1454.0,0.0,0.0
7,0.0,0.0,1.0,0.0,0.0,0.0
8,21.0,18.0,29.0,18.0,9.0,7.0
9,10.0,6.0,15.0,4.0,3.0,4.0
10,93.0,62.0,97.0,84.0,63.0,75.0
11,8.0,19.0,3.0,7.0,9.0,23.0
12,4.0,1.0,1.0,2.0,12.0,2.0
13,4.0,1.0,1.0,2.0,0.0,2.0
14,0.0,0.0,0.0,0.0,0.0,0.0
15,59.0,38.0,40.0,47.0,75.0,63.0
16,30.0,24.0,31.0,21.0,25.0,13.0
17,11.0,38.0,29.0,32.0,0.0,25.0
