,2018-2019,2020-2021,2021-2022,2013-2014,2014-2015,2015-2016,2016-2017,2017-2018,2019-2020
1,3.625,3.0,3.625,27.0,28.0,29.0,4.0,6.0,3.625
2,28846.0,81269.0,79154.0,76308.0,76308.0,54385.0,56962.0,28846.0,28846.0
3,36.0,9.0,34.0,29.0,27.0,23.0,33.0,33.0,21.0
4,1.0,2.0,0.0,2.0,0.0,1.0,0.0,1.0,1.0
5,1.0,1.0,1.5,1.0,1.5,1.5,3.0,1.5,1.5
6,3226.0,387.0,0.0,1208.0,0.0,2064.0,0.0,2919.0,1890.0
7,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0
8,31.0,10.0,30.0,18.0,12.0,28.0,32.0,50.0,26.0
9,16.0,3.0,14.0,15.0,19.0,7.0,10.0,7.0,3.0
10,100.0,100.0,97.0,93.0,78.0,100.0,100.0,100.0,100.0
11,3.8333333333333335,3.8333333333333335,1.0,2.0,12.0,6.0,1.0,1.0,3.8333333333333335
12,11.0,2.0,6.0,4.0,5.0,6.0,5.0,9.0,7.0
13,11.0,2.0,6.0,4.0,5.0,6.0,5.0,9.0,7.0
14,0.0,0.0,3.0,0.0,0.0,2.0,0.0,1.0,0.0
15,42.0,56.0,53.0,86.0,74.0,35.0,61.0,33.0,38.0
16,31.0,22.0,21.0,10.0,15.0,35.0,27.0,24.0,33.0
17,28.0,22.0,26.0,3.0,11.0,30.0,12.0,42.0,29.0
