,2020-2021,2014-2015,2015-2016,2016-2017,2018-2019,2019-2020,2021-2022
0,Sampdoria,Juventus,Juventus,Juventus,Juventus,Sampdoria,Sampdoria
1,1.0,29.0,18.0,33.0,21.0,1.0,1.0
2,"€28,462.00","€28,462.00","€28,462.00","€28,462.00","GROSS P/W
(IN EUR)","€28,462.00","€28,462.00"
3,37,23,21,1,36,36,29
4,,,,,,,
5,1,,,,,,
6,,,,,,,
7,,,,,,,
8,54,28,15,1,51,60,48
9,6,5,10,,11,9,5
10,100%,100%,100%,100%,100%,100%,100%
11,1,,,37,2,2,7
12,97%,85%,72%,3%,95%,95%,76%
13,,,1,,4,1,2
14,,,,,,,
15,38%,61%,86%,100%,39%,33%,28%
16,19%,9%,10%,0,19%,14%,17%
17,43%,30%,5%,0,42%,53%,55%
