,2018-2019,2021-2022,2014-2015,2015-2016,2016-2017,2017-2018,2019-2020,2020-2021
0,Hoffenheim,Hoffenheim,Leicester,Hoffenheim,Hoffenheim,Hoffenheim,Hoffenheim,Hoffenheim
1,7.0,7.667,15.0,7.667,7.667,4.0,7.667,12.0
2,"€55,769.00","€55,769.00","€47,462.00","€57,692.00","€57,692.00","€55,769.00","€55,769.00","€55,769.00"
3,30,32,13,15,34,34,19,28
4,17,6,2,5,15,13,12,20
5,4,8,,3,8,6,2,5
6,141,451,289,217,158,171,119,119
7,,,,,,,,
8,38,56,8,21,28,37,26,41
9,5,6,5,2,12,10,5,6
10,93%,94%,46%,80%,82%,65%,74%,93%
11,3,2,11,4,6,12,6,2
12,88%,94%,72%,88%,100%,100%,56%,82%
13,2,2,,1,1,1,3,2
14,,,,1,,,,
15,40%,34%,38%,40%,47%,44%,47%,39%
16,37%,22%,23%,20%,41%,29%,16%,29%
17,23%,44%,38%,40%,12%,26%,37%,32%
