,2021-2022,2013-2014,2014-2015,2015-2016,2016-2017,2017-2018,2018-2019,2019-2020,2020-2021
0,Barcelona,Barcelona,Barcelona,Barcelona,Barcelona,Barcelona,Barcelona,Barcelona,Barcelona
1,15.0,24.0,34.0,26.0,23.0,25.0,30.0,24.0,20.0
2,"€96,154.00","€45,904.00","€47,615.00","€57,423.00","€189,827.00","€191,654.00","€173,077.00","€173,077.00","€96,154.00"
3,9,17,12,31,32,30,29,30,15
4,2,,,,,1,,1,1
5,1,,,4,5,7,7,2,2
6,201,,,,,2227,,2339,861
7,,,,,,,,,
8,7,3,2,19,27,12,26,27,10
9,1,7,10,16,11,16,12,11,3
10,44%,6%,33%,68%,81%,80%,79%,90%,60%
11,6,16,21,13,8,6,8,5,7
12,24%,45%,32%,82%,84%,79%,76%,79%,39%
13,1,,,1,5,3,3,7,1
14,,,,,,2,,,
15,33%,76%,83%,77%,72%,73%,72%,67%,47%
16,33%,12%,8%,10%,19%,27%,21%,17%,27%
17,33%,12%,8%,13%,9%,0,7%,17%,27%
