,2019-2020,2020-2021,2021-2022
0,Benfica,Benfica,Arsenal
1,10.0,10.0,18.889
2,"€4,038.00","€30,787.00","€32,115.00"
3,11,14,22
4,1,,1
5,4,,1
6,927,,1175
7,,,
8,13,11,19
9,4,4,5
10,91%,50%,59%
11,7,18,25
12,32%,41%,58%
13,2,3,2
14,,,
15,55%,64%,59%
16,18%,14%,0
17,27%,21%,41%
