,2019-2020,2021-2022,2013-2014,2014-2015,2015-2016,2016-2017,2017-2018,2018-2019,2020-2021
0,Lille,Lille,Southampton,Southampton,Southampton,Southampton,West Ham,Lille,Lille
1,5.0,17.0,3.75,3.75,1.5,6.0,7.833,6.833,8.0
2,"€32,308.00","€38,880.00","€53,746.00","€85,765.00","€85,765.00",€0.00,"€57,500.00","€32,115.00","€32,308.00"
3,25,38,36,37,37,16,8,36,36
4,1,,3,,2,,,3,3
5,1,2,,1,1,,1,1,
6,2205,,1061,,1583,,,1037,1063
7,,,,,,,,,1
8,24,48,41,32,37,25,11,28,22
9,11,10,15,15,12,4,3,15,20
10,100%,100%,97%,100%,100%,100%,100%,100%,100%
11,3,,1,,,,5,,
12,89%,100%,95%,97%,97%,94%,30%,95%,95%
13,4,4,6,5,4,2,,5,7
14,,,,,1,,,1,
15,56%,37%,42%,46%,46%,25%,25%,58%,61%
16,16%,34%,28%,16%,24%,31%,38%,25%,31%
17,28%,29%,31%,38%,30%,44%,38%,17%,8%
