,2020-2021,2014-2015,2015-2016,2016-2017,2017-2018,2018-2019,2019-2020,2021-2022
0,Sassuolo,Marseille,Marseille,Marseille,Marseille,Marseille,Marseille,Sassuolo
1,4.0,8.714,9.0,8.714,19.0,3.0,8.714,4.0
2,"€14,808.00",€0.00,"€27,654.00","€27,692.00","€14,808.00","€14,808.00","GROSS P/W
(IN EUR)","€14,808.00"
3,29,2,23,30,24,32,23,35
4,2,,2,3,,1,,2
5,,,,6,,2,2,2
6,932,,948,724,,2182,,1470
7,,,,,,,,
8,27,,27,29,16,24,18,56
9,8,2,5,14,9,12,10,3
10,76%,100%,96%,87%,58%,78%,57%,94%
11,12,,1,10,21,13,15,2
12,83%,8%,82%,79%,63%,84%,82%,92%
13,7,,6,4,2,4,2,13
14,,,,,,,,
15,45%,100%,22%,47%,58%,53%,65%,34%
16,28%,0,48%,23%,25%,22%,22%,31%
17,28%,0,30%,30%,17%,25%,13%,34%
