,2014-2015,2015-2016,2016-2017,2017-2018,2018-2019,2019-2020,2020-2021,2021-2022
1,14.0,6.0,22.0,1.5,23.0,3.0,3.0,9.0
2,5769.0,5769.0,5769.0,7692.0,7692.0,9231.0,9231.0,9231.0
3,17.0,29.0,12.0,13.0,12.0,22.0,29.0,26.0
4,1.0,5.0,0.0,0.0,3.0,3.0,5.0,1.0
5,2.0,4.0,1.0,2.0,1.0,1.0,1.0,4.0
6,1211.0,463.0,0.0,0.0,297.0,572.0,490.0,1964.0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,10.0,16.0,17.0,12.0,19.0,27.0,31.0,30.0
9,7.0,16.0,4.0,3.0,2.0,6.0,10.0,7.0
10,82.0,93.0,100.0,46.0,92.0,86.0,100.0,92.0
11,3.0,4.0,4.0,17.0,2.0,3.0,5.285714285714286,4.0
12,2.0,4.0,5.0,2.0,2.0,6.0,7.0,9.0
13,2.0,4.0,5.0,2.0,2.0,6.0,7.0,9.0
14,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0
15,53.0,72.0,42.0,23.0,50.0,45.0,52.0,50.0
16,29.0,21.0,25.0,31.0,8.0,23.0,17.0,12.0
17,18.0,7.0,33.0,46.0,42.0,32.0,31.0,38.0
