,2013-2014,2014-2015,2015-2016,2016-2017,2017-2018,2018-2019,2019-2020,2020-2021
1,15.0,1.5,7.0,22.0,9.0,11.0,3.0,5.0
2,66038.0,12538.0,12538.0,12538.0,46519.0,64423.0,64615.0,64615.0
3,28.0,6.0,18.0,6.0,15.0,33.0,11.0,23.0
4,4.0,1.0,2.0,0.0,5.0,2.0,1.0,4.0
5,5.0,2.0,3.0,1.0,4.0,4.0,3.142857142857143,3.0
6,560.0,360.0,507.0,0.0,241.0,1334.0,839.0,269.0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,26.0,5.0,19.0,2.0,26.0,35.0,9.0,7.0
9,10.0,2.0,2.0,3.0,3.0,11.0,4.0,7.0
10,89.0,67.0,56.0,17.0,93.0,88.0,91.0,52.0
11,3.0,2.0,10.0,15.0,1.0,6.0,3.0,15.0
12,7.0,12.0,3.0,1.0,2.0,6.0,2.0,3.0
13,7.0,0.0,3.0,1.0,2.0,6.0,2.0,3.0
14,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
15,43.0,50.0,44.0,100.0,27.0,39.0,36.0,43.0
16,29.0,33.0,11.0,0.0,40.0,33.0,18.0,26.0
17,29.0,17.0,44.0,0.0,33.0,27.0,45.0,30.0
