,2013-2014,2014-2015,2015-2016,2016-2017,2017-2018,2018-2019,2019-2020,2020-2021,2021-2022
0,Lyon,Lyon,Lyon,Lyon,Lyon,Lyon,Montpellier,Montpellier,Montpellier
1,15.0,1.5,7.0,22.0,14.0,17.0,6.0,6.0,6.0
2,"€30,654.00","€30,654.00","€27,692.00","€27,692.00","€27,692.00","€27,692.00","€27,692.00","€27,692.00","€27,692.00"
3,29,35,34,27,24,24,16,34,34
4,3,1,2,1,,2,,,
5,,6,5,2,1,1,,3,2
6,604,2601,1222,962,,936,,,
7,,,,,,,,,
8,29,23,30,14,9,31,17,44,48
9,9,16,13,11,13,7,3,4,10
10,62%,86%,76%,37%,17%,88%,81%,91%,97%
11,11,5,11,27,31,3,3,3,1
12,76%,92%,89%,73%,63%,96%,57%,89%,89%
13,5,6,8,4,4,5,1,6,12
14,1,,,,,,1,,1
15,41%,57%,50%,56%,75%,50%,38%,38%,35%
16,28%,26%,21%,11%,21%,13%,19%,32%,18%
17,31%,17%,29%,33%,4%,38%,44%,29%,47%
