,2020-2021,2021-2022
0,Atletico Madrid,Lille
1,16.0,17.0
2,"GROSS P/W
(IN EUR)","€16,538.00"
3,,21
4,,
5,,
6,,
7,,
8,,28
9,,2
10,,100%
11,35,11
12,0%,58%
13,,3
14,,
15,,38%
16,,33%
17,,29%
