,2019-2020,2014-2015,2015-2016,2016-2017,2017-2018,2018-2019,2020-2021,2021-2022
0,Lazio,Sampdoria,Sampdoria,Sevilla,Sevilla,Lazio,Lazio,Inter Milan
1,4.0,1.0,1.0,19.0,21.0,6.0,17.0,18.0
2,"GROSS P/W
(IN EUR)","€34,038.00","€46,288.00","€53,462.00","€89,038.00","€124,615.00","€124,615.00","€124,615.00"
3,30,6,25,26,22,34,28,26
4,9,,3,4,1,5,8,6
5,2,,1,,1,6,3,2
6,222,,435,329,1280,385,242,170
7,,,,,,,,
8,26,4,26,22,16,25,40,8
9,8,1,4,9,11,7,7,10
10,73%,33%,56%,58%,73%,53%,89%,46%
11,9,17,17,21,15,18,7,14
12,79%,29%,66%,68%,58%,89%,74%,70%
13,,,6,6,5,5,2,1
14,,,1,,,,1,
15,70%,17%,24%,54%,55%,41%,54%,73%
16,13%,67%,28%,19%,18%,24%,11%,19%
17,17%,17%,48%,27%,27%,35%,36%,8%
